season,batter,batting_team,balls_faced,total_runs,fours,sixes,strike_rate
2009/10,Y Nagar,Delhi Daredevils,6,1,0,0,16.67
2009/10,R Sharma,Deccan Chargers,26,29,3,1,111.54
2009/10,KB Arun Karthik,Chennai Super Kings,5,3,0,0,60.0
2009/10,CK Langeveldt,Kolkata Knight Riders,1,0,0,0,0.0
2009/10,BB McCullum,Kolkata Knight Riders,109,114,14,2,104.59
2009/10,DE Bollinger,Chennai Super Kings,16,18,1,1,112.5
2009/10,AB Dinda,Kolkata Knight Riders,1,0,0,0,0.0
2009/10,Harmeet Singh,Deccan Chargers,1,0,0,0,0.0
2011,SK Raina,Chennai Super Kings,323,437,36,17,135.29
2011,G Gambhir,Kolkata Knight Riders,314,373,43,3,118.79
2011,RV Uthappa,Pune Warriors,205,263,27,10,128.29
2011,Y Nagar,Delhi Daredevils,100,111,6,6,111.0
2011,TD Paine,Pune Warriors,26,10,0,0,38.46
2011,DE Bollinger,Chennai Super Kings,1,0,0,0,0.0
2011,MR Marsh,Pune Warriors,49,50,2,3,102.04
2011,M Kaif,Royal Challengers Bangalore,33,41,5,0,124.24
2011,SD Chitnis,Kings XI Punjab,9,9,1,0,100.0
2011,DS Kulkarni,Mumbai Indians,4,2,0,0,50.0
2012,RE Levi,Mumbai Indians,73,83,10,4,113.7
2012,GJ Maxwell,Delhi Daredevils,11,6,0,0,54.55
2012,AM Rahane,Rajasthan Royals,433,560,73,10,129.33
2012,AC Gilchrist,Kings XI Punjab,142,168,20,4,118.31
2012,PC Valthaty,Kings XI Punjab,51,30,4,0,58.82
2012,RN ten Doeschate,Kolkata Knight Riders,21,21,1,1,100.0
2012,AD Mathews,Pune Warriors,108,127,5,4,117.59
2012,S Aravind,Royal Challengers Bangalore,8,14,3,0,175.0
2012,M Muralitharan,Royal Challengers Bangalore,9,6,0,0,66.67
2012,N Saini,Kings XI Punjab,140,140,16,0,100.0
2012,UBT Chand,Delhi Daredevils,34,36,2,3,105.88
2013,NV Ojha,Delhi Daredevils,10,9,1,0,90.0
2013,R Ashwin,Chennai Super Kings,49,35,4,0,71.43
2013,DW Steyn,Sunrisers Hyderabad,36,53,5,2,147.22
2013,P Awana,Kings XI Punjab,9,1,0,0,11.11
2013,AJ Finch,Pune Warriors,335,455,54,16,135.82
2013,CH Morris,Chennai Super Kings,16,14,0,0,87.5
2013,Q de Kock,Sunrisers Hyderabad,15,6,1,0,40.0
2013,LJ Wright,Pune Warriors,59,102,15,3,172.88
2013,A Mithun,Royal Challengers Bangalore,2,2,0,0,100.0
2014,DR Smith,Chennai Super Kings,415,565,50,34,136.14
2014,GJ Bailey,Kings XI Punjab,188,254,19,10,135.11
2014,MG Johnson,Kings XI Punjab,50,56,4,3,112.0
2014,KP Pietersen,Delhi Daredevils,233,294,34,7,126.18
2014,MA Starc,Royal Challengers Bangalore,84,85,9,0,101.19
2014,R Shukla,Delhi Daredevils,21,18,2,0,85.71
2014,P Kumar,Mumbai Indians,2,1,0,0,50.0
2015,BB McCullum,Chennai Super Kings,276,431,50,23,156.16
2015,MM Sharma,Chennai Super Kings,18,28,1,2,155.56
2015,MG Johnson,Kings XI Punjab,36,31,1,1,86.11
2015,MA Starc,Royal Challengers Bangalore,14,11,1,0,78.57
2015,SS Tiwary,Delhi Daredevils,78,109,9,5,139.74
2016,AM Rahane,Rising Pune Supergiants,378,479,54,9,126.72
2023,RA Jadeja,Chennai Super Kings,132,189,11,9,143.18
2023,P Simran Singh,Punjab Kings,238,358,38,19,150.42
2023,S Dhawan,Punjab Kings,258,368,48,12,142.64
2023,JM Sharma,Punjab Kings,196,302,22,20,154.08
2023,C Sakariya,Delhi Capitals,6,4,1,0,66.67
2016,PA Patel,Mumbai Indians,151,177,23,4,117.22
2016,SP Narine,Kolkata Knight Riders,13,7,0,0,53.85
2016,PSP Handscomb,Rising Pune Supergiants,12,6,0,0,50.0
2016,HM Amla,Kings XI Punjab,119,157,20,4,131.93
2016,JJ Bumrah,Mumbai Indians,11,8,1,0,72.73
2016,A Nehra,Sunrisers Hyderabad,1,1,0,0,100.0
2016,S Kaushik,Gujarat Lions,1,0,0,0,0.0
2017,PA Patel,Mumbai Indians,293,395,49,8,134.81
2017,HH Pandya,Mumbai Indians,159,250,11,20,157.23
2017,PJ Cummins,Delhi Daredevils,53,77,5,4,145.28
2017,DS Kulkarni,Gujarat Lions,2,1,0,0,50.0
2017,NV Ojha,Sunrisers Hyderabad,65,79,2,3,121.54
2017,VR Aaron,Kings XI Punjab,10,4,0,0,40.0
2017,AF Milne,Royal Challengers Bangalore,12,7,0,0,58.33
2017,Kuldeep Yadav,Kolkata Knight Riders,22,20,2,0,90.91
2017,MJ Guptill,Kings XI Punjab,87,126,17,4,144.83
2017,Ankit Soni,Gujarat Lions,9,7,0,1,77.78
2018,MS Dhoni,Chennai Super Kings,301,455,24,30,151.16
2018,KM Jadhav,Chennai Super Kings,21,24,1,2,114.29
2018,Imran Tahir,Chennai Super Kings,2,2,0,0,100.0
2018,KL Rahul,Kings XI Punjab,415,659,66,32,158.8
2018,MA Agarwal,Kings XI Punjab,94,120,9,5,127.66
2018,TK Curran,Kolkata Knight Riders,28,23,3,0,82.14
2018,S Kaul,Sunrisers Hyderabad,14,3,0,0,21.43
2018,Mujeeb Ur Rahman,Kings XI Punjab,7,10,2,0,142.86
2018,STR Binny,Rajasthan Royals,39,44,2,2,112.82
2018,MJ McClenaghan,Mumbai Indians,9,10,1,1,111.11
2018,PA Patel,Royal Challengers Bangalore,109,153,20,4,140.37
2018,AD Nath,Kings XI Punjab,13,9,1,0,69.23
2019,YS Chahal,Royal Challengers Bangalore,16,6,0,0,37.5
2019,JM Bairstow,Sunrisers Hyderabad,281,444,48,18,158.01
2019,KD Karthik,Kolkata Knight Riders,173,253,22,14,146.24
2019,RG Sharma,Mumbai Indians,314,399,52,9,127.07
2019,CH Gayle,Kings XI Punjab,319,490,45,34,153.61
2019,AM Rahane,Rajasthan Royals,285,393,45,9,137.89
2019,JC Archer,Rajasthan Royals,40,67,4,4,167.5
2019,SP Narine,Kolkata Knight Riders,85,141,17,9,165.88
