batter,season,batting_team,matches,total_runs,highest_score,fours,sixes,balls_faced,strike_rate,avg_per_match
T Stubbs,2022,Mumbai Indians,2,2,1,0,0,4,50.0,1.0
PK Garg,2022,Sunrisers Hyderabad,2,46,6,4,2,33,139.39,23.0
Vivrant Sharma,2023,Sunrisers Hyderabad,1,69,6,9,2,47,146.81,69.0
MA Agarwal,2024,Sunrisers Hyderabad,4,64,6,8,1,57,112.28,16.0
R Ravindra,2024,Chennai Super Kings,10,218,6,21,12,137,159.12,21.8
Arshad Khan (2),2024,Lucknow Super Giants,1,5,4,1,0,4,125.0,5.0
MJ Santner,2024,Chennai Super Kings,3,14,4,1,0,17,82.35,4.67
T Kohler-Cadmore,2024,Rajasthan Royals,3,48,6,7,1,54,88.89,16.0
Mohammed Shami,2025,Sunrisers Hyderabad,4,10,4,1,0,10,100.0,2.5
Rashid Khan,2025,Gujarat Titans,8,40,6,2,3,28,142.86,5.0
DP Conway,2025,Chennai Super Kings,6,156,6,17,4,119,131.09,26.0
Sandeep Sharma,2025,Rajasthan Royals,1,6,2,0,0,5,120.0,6.0
R Powell,2025,Kolkata Knight Riders,1,5,4,1,0,5,100.0,5.0
M Rawat,2007/08,Rajasthan Royals,7,34,6,3,1,39,87.18,4.86
ST Jayasuriya,2007/08,Mumbai Indians,14,508,6,57,30,308,164.94,36.29
AB de Villiers,2007/08,Delhi Daredevils,6,95,6,5,1,98,96.94,15.83
SP Goswami,2007/08,Royal Challengers Bangalore,3,82,6,9,1,85,96.47,27.33
M Vijay,2009,Chennai Super Kings,4,60,6,4,2,67,89.55,15.0
S Sreesanth,2009,Kings XI Punjab,2,5,4,1,0,18,27.78,2.5
D du Preez,2009,Royal Challengers Bangalore,1,10,2,0,0,13,76.92,10.0
AD Mathews,2009/10,Kolkata Knight Riders,10,232,6,18,8,183,126.78,23.2
AC Gilchrist,2009/10,Deccan Chargers,16,289,6,31,16,185,156.22,18.06
A Symonds,2009/10,Deccan Chargers,16,429,6,35,18,340,126.18,26.81
Anirudh Singh,2009/10,Deccan Chargers,4,63,6,6,1,66,95.45,15.75
P Dogra,2009/10,Rajasthan Royals,8,107,6,4,5,106,100.94,13.38
V Sehwag,2009/10,Delhi Daredevils,14,352,6,46,14,217,162.21,25.14
A Mishra,2009/10,Delhi Daredevils,7,38,4,1,0,50,76.0,5.43
PJ Sangwan,2009/10,Delhi Daredevils,2,10,2,0,0,14,71.43,5.0
