batter,season,batting_team,matches,total_runs,highest_score,fours,sixes,balls_faced,strike_rate,avg_per_match
T Shamsi,2021,Rajasthan Royals,1,2,1,0,0,4,50.0,2.0
MA Agarwal,2022,Punjab Kings,12,196,6,23,6,160,122.5,16.33
DA Miller,2022,Gujarat Titans,16,481,6,32,23,335,143.58,30.06
PWH de Silva,2022,Royal Challengers Bangalore,7,38,6,4,1,43,88.37,5.43
Harpreet Brar,2022,Punjab Kings,3,22,6,1,2,25,88.0,7.33
CJ Jordan,2022,Chennai Super Kings,2,11,2,0,0,8,137.5,5.5
Avesh Khan,2022,Lucknow Super Giants,4,22,6,0,3,13,169.23,5.5
Akash Deep,2022,Royal Challengers Bangalore,1,0,0,0,0,2,0.0,0.0
MJ Santner,2022,Chennai Super Kings,4,22,4,3,0,27,81.48,5.5
DJ Mitchell,2022,Rajasthan Royals,2,33,4,1,0,44,75.0,16.5
HV Patel,2023,Royal Challengers Bangalore,2,6,6,0,1,6,100.0,3.0
Akash Deep,2023,Royal Challengers Bangalore,1,17,6,2,1,8,212.5,17.0
N Jagadeesan,2023,Kolkata Knight Riders,6,89,6,14,1,81,109.88,14.83
NT Ellis,2023,Punjab Kings,2,1,1,0,0,7,14.29,0.5
Harshit Rana,2023,Kolkata Knight Riders,1,0,0,0,0,1,0.0,0.0
Swapnil Singh,2023,Lucknow Super Giants,1,2,1,0,0,4,50.0,2.0
P Dubey,2023,Delhi Capitals,1,16,4,2,0,20,80.0,16.0
Sanvir Singh,2023,Sunrisers Hyderabad,2,11,6,1,1,9,122.22,5.5
SO Hetmyer,2024,Rajasthan Royals,9,113,6,9,7,68,166.18,12.56
AR Patel,2024,Delhi Capitals,12,235,6,19,10,179,131.28,19.58
Q de Kock,2024,Lucknow Super Giants,11,250,6,29,9,186,134.41,22.73
Shahbaz Ahmed,2024,Sunrisers Hyderabad,12,215,6,7,13,166,129.52,17.92
RD Gaikwad,2024,Chennai Super Kings,14,579,6,57,18,412,140.53,41.36
S Dube,2024,Chennai Super Kings,14,395,6,28,28,243,162.55,28.21
RA Jadeja,2024,Chennai Super Kings,11,267,6,22,8,187,142.78,24.27
RG Sharma,2024,Mumbai Indians,14,417,6,45,23,276,151.09,29.79
SB Dubey,2024,Rajasthan Royals,3,33,6,3,2,19,173.68,11.0
V Kohli,2025,Royal Challengers Bengaluru,15,657,6,66,19,454,144.71,43.8
N Rana,2025,Rajasthan Royals,11,217,6,27,9,134,161.94,19.73
RD Rickelton,2025,Mumbai Indians,14,388,6,47,17,255,152.16,27.71
MJ Santner,2025,Mumbai Indians,8,40,6,2,3,33,121.21,5.0
Ashutosh Sharma,2024,Punjab Kings,9,183,6,10,14,110,166.36,20.33
Noor Ahmad,2024,Gujarat Titans,2,5,4,1,0,9,55.56,2.5
RA Tripathi,2024,Sunrisers Hyderabad,6,155,6,17,5,113,137.17,25.83
TA Boult,2024,Rajasthan Royals,4,14,4,2,0,16,87.5,3.5
M Shahrukh Khan,2025,Gujarat Titans,11,179,6,11,13,100,179.0,16.27
B Kumar,2025,Royal Challengers Bengaluru,6,14,4,1,0,25,56.0,2.33
N Wadhera,2025,Punjab Kings,15,368,6,28,21,251,146.61,24.53
JJ Bumrah,2025,Mumbai Indians,1,0,0,0,0,1,0.0,0.0
KK Ahmed,2025,Chennai Super Kings,1,1,1,0,0,2,50.0,1.0
KA Jamieson,2025,Punjab Kings,2,0,0,0,0,5,0.0,0.0
V Kohli,2007/08,Royal Challengers Bangalore,12,165,6,18,4,157,105.1,13.75
MEK Hussey,2007/08,Chennai Super Kings,3,168,6,12,11,100,168.0,56.0
L Ronchi,2007/08,Mumbai Indians,4,34,6,6,1,32,106.25,8.5
AC Gilchrist,2007/08,Deccan Chargers,14,431,6,50,19,314,137.26,30.79
AS Yadav,2007/08,Deccan Chargers,6,49,6,5,2,39,125.64,8.17
RP Singh,2007/08,Deccan Chargers,9,27,6,2,1,24,112.5,3.0
GC Smith,2007/08,Rajasthan Royals,11,437,6,53,8,361,121.05,39.73
Mohammad Asif,2007/08,Delhi Daredevils,2,3,1,0,0,6,50.0,1.5
DT Patil,2007/08,Royal Challengers Bangalore,2,13,4,1,0,13,100.0,6.5
RV Uthappa,2009,Royal Challengers Bangalore,13,175,6,18,3,170,102.94,13.46
NK Patel,2009,Rajasthan Royals,2,18,4,1,0,38,47.37,9.0
M Muralitharan,2009,Chennai Super Kings,4,8,4,1,0,8,100.0,2.0
RJ Quiney,2009,Rajasthan Royals,7,103,6,12,3,102,100.98,14.71
M Manhas,2009,Delhi Daredevils,6,75,6,7,1,62,120.97,12.5
SM Katich,2009,Kings XI Punjab,9,145,6,15,6,117,123.93,16.11
NV Ojha,2009,Rajasthan Royals,8,168,6,11,11,144,116.67,21.0
J Botha,2009,Rajasthan Royals,3,46,4,5,0,39,117.95,15.33
CA Pujara,2009/10,Kolkata Knight Riders,6,122,6,14,3,115,106.09,20.33
YA Abdulla,2009/10,Kings XI Punjab,1,0,0,0,0,1,0.0,0.0
TM Dilshan,2009/10,Delhi Daredevils,6,44,4,6,0,53,83.02,7.33
JH Kallis,2009/10,Royal Challengers Bangalore,16,566,6,66,9,489,115.75,35.38
WP Saha,2009/10,Kolkata Knight Riders,6,67,6,9,1,53,126.42,11.17
SW Tait,2009/10,Rajasthan Royals,2,12,6,0,1,13,92.31,6.0
AG Paunikar,2009/10,Rajasthan Royals,1,0,0,0,0,1,0.0,0.0
MK Tiwary,2011,Kolkata Knight Riders,13,354,6,25,14,322,109.94,27.23
NJ Rimmington,2011,Kings XI Punjab,1,1,1,0,0,1,100.0,1.0
MEK Hussey,2011,Chennai Super Kings,14,492,6,53,6,413,119.13,35.14
STR Binny,2011,Rajasthan Royals,2,37,6,2,1,31,119.35,18.5
KA Pollard,2011,Mumbai Indians,12,145,6,12,6,132,109.85,12.08
NL McCullum,2011,Pune Warriors,2,26,6,0,1,22,118.18,13.0
CJ Ferguson,2011,Pune Warriors,4,48,4,6,0,54,88.89,12.0
PP Chawla,2012,Kings XI Punjab,12,106,6,9,4,88,120.45,8.83
R Vinay Kumar,2012,Royal Challengers Bangalore,7,68,6,3,2,62,109.68,9.71
HV Patel,2012,Royal Challengers Bangalore,3,15,4,1,0,15,100.0,5.0
CL White,2012,Deccan Chargers,13,475,6,40,20,319,148.9,36.54
AC Thomas,2012,Pune Warriors,2,19,6,1,1,15,126.67,9.5
MJ Clarke,2012,Pune Warriors,6,98,5,12,0,94,104.26,16.33
DA Warner,2012,Delhi Daredevils,8,252,6,27,14,155,162.58,31.5
SD Chitnis,2012,Kings XI Punjab,4,66,6,7,1,62,106.45,16.5
MD Mishra,2012,Pune Warriors,1,4,4,1,0,4,100.0,4.0
P Parameswaran,2012,Royal Challengers Bangalore,1,0,0,0,0,1,0.0,0.0
J Botha,2013,Delhi Daredevils,6,43,6,5,1,52,82.69,7.17
JH Kallis,2013,Kolkata Knight Riders,15,311,6,35,3,322,96.58,20.73
CH Gayle,2013,Royal Challengers Bangalore,16,701,6,56,50,454,154.41,43.81
MK Pandey,2013,Pune Warriors,7,136,6,11,3,137,99.27,19.43
BJ Hodge,2013,Rajasthan Royals,14,292,6,27,9,217,134.56,20.86
KK Cooper,2013,Rajasthan Royals,5,39,6,4,2,22,177.27,7.8
L Balaji,2013,Kolkata Knight Riders,2,9,4,1,0,10,90.0,4.5
SS Tiwary,2013,Royal Challengers Bangalore,6,109,6,4,4,106,102.83,18.17
M Manhas,2013,Pune Warriors,2,13,4,1,0,17,76.47,6.5
UA Birla,2013,Pune Warriors,1,7,4,1,0,14,50.0,7.0
AP Tare,2013,Mumbai Indians,5,123,6,14,5,84,146.43,24.6
JH Kallis,2014,Kolkata Knight Riders,7,151,6,13,4,128,117.97,21.57
RV Uthappa,2014,Kolkata Knight Riders,16,659,6,74,18,478,137.87,41.19
MA Agarwal,2014,Delhi Daredevils,8,115,6,12,3,91,126.37,14.38
RA Jadeja,2014,Chennai Super Kings,10,146,6,9,5,109,133.94,14.6
S Nadeem,2014,Delhi Daredevils,3,7,1,0,0,19,36.84,2.33
MA Starc,2014,Royal Challengers Bangalore,8,85,4,9,0,84,101.19,10.63
UT Yadav,2014,Kolkata Knight Riders,1,2,1,0,0,4,50.0,2.0
CH Gayle,2014,Royal Challengers Bangalore,9,196,6,18,12,184,106.52,21.78
MS Bisla,2014,Kolkata Knight Riders,1,3,1,0,0,9,33.33,3.0
P Kumar,2014,Mumbai Indians,1,1,1,0,0,2,50.0,1.0
MK Pandey,2015,Kolkata Knight Riders,12,225,6,22,7,184,122.28,18.75
JA Morkel,2015,Delhi Daredevils,3,86,6,9,2,65,132.31,28.67
STR Binny,2015,Rajasthan Royals,8,73,6,7,1,65,112.31,9.13
WP Saha,2015,Kings XI Punjab,13,249,6,16,10,197,126.4,19.15
GJ Bailey,2015,Kings XI Punjab,12,259,6,22,7,190,136.32,21.58
NV Ojha,2015,Sunrisers Hyderabad,11,137,6,12,4,120,114.17,12.45
Parvez Rasool,2015,Sunrisers Hyderabad,1,2,1,0,0,2,100.0,2.0
P Kumar,2015,Sunrisers Hyderabad,4,17,4,1,0,25,68.0,4.25
SR Watson,2015,Rajasthan Royals,9,343,6,36,14,257,133.46,38.11
GB Hogg,2015,Kolkata Knight Riders,2,7,2,0,0,6,116.67,3.5
R Vinay Kumar,2016,Mumbai Indians,2,13,6,0,1,12,108.33,6.5
KK Nair,2016,Delhi Daredevils,12,352,6,39,6,295,119.32,29.33
MJ Santner,2023,Chennai Super Kings,2,2,1,0,0,4,50.0,1.0
PBB Rajapaksa,2023,Punjab Kings,4,71,6,6,2,62,114.52,17.75
Sikandar Raza,2023,Punjab Kings,7,139,6,10,6,98,141.84,19.86
KL Rahul,2023,Lucknow Super Giants,9,274,6,28,4,241,113.69,30.44
RR Rossouw,2023,Delhi Capitals,9,207,6,17,11,140,147.86,23.0
C Sakariya,2023,Delhi Capitals,2,4,4,1,0,6,66.67,2.0
AU Rashid,2023,Sunrisers Hyderabad,2,21,6,2,1,15,140.0,10.5
B Kumar,2023,Sunrisers Hyderabad,5,42,4,4,0,47,89.36,8.4
A Ashish Reddy,2016,Sunrisers Hyderabad,3,47,6,2,4,29,162.07,15.67
R Ashwin,2016,Rising Pune Supergiants,6,41,6,3,1,38,107.89,6.83
DW Steyn,2016,Gujarat Lions,1,1,1,0,0,2,50.0,1.0
UT Yadav,2016,Kolkata Knight Riders,2,9,6,0,1,5,180.0,4.5
Mohammed Shami,2016,Delhi Daredevils,2,2,1,0,0,4,50.0,1.0
KC Cariappa,2016,Kings XI Punjab,2,13,6,0,1,11,118.18,6.5
Yuvraj Singh,2016,Sunrisers Hyderabad,10,236,6,22,13,179,131.84,23.6
N Rana,2016,Mumbai Indians,3,100,6,6,8,74,135.14,33.33
MA Agarwal,2017,Rising Pune Supergiant,3,26,4,3,0,27,96.3,8.67
BA Stokes,2017,Rising Pune Supergiant,11,316,6,22,15,221,142.99,28.73
DT Christian,2017,Rising Pune Supergiant,9,79,6,5,5,49,161.22,8.78
AB de Villiers,2017,Royal Challengers Bangalore,9,216,6,12,16,163,132.52,24.0
S Badree,2017,Royal Challengers Bangalore,5,13,2,0,0,23,56.52,2.6
Mohammad Nabi,2017,Sunrisers Hyderabad,1,2,2,0,0,3,66.67,2.0
SL Malinga,2017,Mumbai Indians,2,7,6,0,1,3,233.33,3.5
S Kaul,2017,Sunrisers Hyderabad,1,0,0,0,0,2,0.0,0.0
SA Yadav,2018,Mumbai Indians,14,512,6,61,16,384,133.33,36.57
KH Pandya,2018,Mumbai Indians,13,228,6,22,10,157,145.22,17.54
DJ Bravo,2018,Chennai Super Kings,10,135,6,8,9,90,150.0,13.5
MP Stoinis,2018,Kings XI Punjab,7,98,6,6,4,75,130.67,14.0
SV Samson,2018,Rajasthan Royals,15,441,6,30,19,319,138.24,29.4
GJ Maxwell,2018,Delhi Daredevils,12,169,6,14,9,120,140.83,14.08
Washington Sundar,2018,Royal Challengers Bangalore,5,65,6,5,4,38,171.05,13.0
P Negi,2018,Royal Challengers Bangalore,2,3,1,0,0,5,60.0,1.5
PA Patel,2018,Royal Challengers Bangalore,6,153,6,20,4,109,140.37,25.5
CA Ingram,2019,Delhi Capitals,12,184,6,20,5,154,119.48,15.33
Sandeep Sharma,2019,Sunrisers Hyderabad,2,6,4,1,0,3,200.0,3.0
M Prasidh Krishna,2019,Kolkata Knight Riders,1,0,0,0,0,2,0.0,0.0
P Simran Singh,2019,Kings XI Punjab,1,16,6,1,1,17,94.12,16.0
R Tewatia,2020/21,Rajasthan Royals,11,255,6,13,17,182,140.11,23.18
AD Russell,2020/21,Kolkata Knight Riders,9,115,6,9,9,79,145.57,12.78
Mohammed Shami,2020/21,Kings XI Punjab,2,2,1,0,0,3,66.67,1.0
Mandeep Singh,2020/21,Kings XI Punjab,7,130,6,10,4,109,119.27,18.57
AT Carey,2020/21,Delhi Capitals,3,32,6,0,1,29,110.34,10.67
LH Ferguson,2020/21,Kolkata Knight Riders,2,43,6,4,1,29,148.28,21.5
Shubman Gill,2021,Kolkata Knight Riders,17,478,6,50,12,401,119.2,28.12
B Kumar,2021,Sunrisers Hyderabad,7,34,4,3,0,30,113.33,4.86
SO Hetmyer,2021,Delhi Capitals,12,242,6,19,12,142,170.42,20.17
YS Chahal,2021,Royal Challengers Bangalore,2,10,2,0,0,27,37.04,5.0
Sandeep Sharma,2021,Sunrisers Hyderabad,2,8,4,1,0,7,114.29,4.0
Mandeep Singh,2021,Punjab Kings,1,15,4,2,0,13,115.38,15.0
SW Billings,2022,Kolkata Knight Riders,8,163,6,9,9,137,118.98,20.38
F du Plessis,2022,Royal Challengers Bangalore,16,468,6,49,13,367,127.52,29.25
YBK Jaiswal,2022,Rajasthan Royals,10,253,6,27,10,191,132.46,25.3
Abdul Samad,2022,Sunrisers Hyderabad,2,4,1,0,0,7,57.14,2.0
Shahbaz Ahmed,2022,Royal Challengers Bangalore,11,218,6,14,9,179,121.79,19.82
JM Sharma,2022,Punjab Kings,10,234,6,22,12,143,163.64,23.4
Rasikh Salam,2022,Kolkata Knight Riders,1,7,4,1,0,6,116.67,7.0
FA Allen,2022,Mumbai Indians,1,8,4,1,0,7,114.29,8.0
HR Shokeen,2022,Mumbai Indians,2,43,4,5,0,48,89.58,21.5
Simarjeet Singh,2022,Chennai Super Kings,3,7,2,0,0,8,87.5,2.33
M Theekshana,2022,Chennai Super Kings,2,7,6,0,1,7,100.0,3.5
N Jagadeesan,2022,Chennai Super Kings,2,40,6,3,1,37,108.11,20.0
JD Unadkat,2023,Lucknow Super Giants,1,9,4,1,0,7,128.57,9.0
YV Dhull,2023,Delhi Capitals,3,16,4,1,0,23,69.57,5.33
C Green,2024,Royal Challengers Bengaluru,12,255,6,22,10,178,143.26,21.25
JM Sharma,2024,Punjab Kings,12,187,6,9,12,142,131.69,15.58
Abhishek Sharma,2024,Sunrisers Hyderabad,16,478,6,36,41,235,203.4,29.88
AK Markram,2024,Sunrisers Hyderabad,11,220,6,18,4,175,125.71,20.0
Abdul Samad,2024,Sunrisers Hyderabad,12,182,6,15,11,108,168.52,15.17
PJ Cummins,2024,Sunrisers Hyderabad,10,133,6,9,8,94,141.49,13.3
Sameer Rizvi,2024,Chennai Super Kings,5,51,6,4,2,43,118.6,10.2
YBK Jaiswal,2025,Rajasthan Royals,14,559,6,60,28,350,159.71,39.93
RA Jadeja,2025,Chennai Super Kings,14,301,6,25,10,222,135.59,21.5
MR Marsh,2025,Lucknow Super Giants,13,627,6,56,37,381,164.57,48.23
Shahbaz Ahmed,2025,Lucknow Super Giants,1,9,4,1,0,8,112.5,9.0
KA Maharaj,2024,Rajasthan Royals,1,1,1,0,0,2,50.0,1.0
Yudhvir Singh,2024,Lucknow Super Giants,2,21,6,1,2,14,150.0,10.5
KS Rathore,2025,Rajasthan Royals,1,0,0,0,0,5,0.0,0.0
Atharva Taide,2025,Sunrisers Hyderabad,1,13,4,3,0,9,144.44,13.0
DJ Hussey,2007/08,Kolkata Knight Riders,13,318,6,19,17,258,123.26,24.46
K Goel,2007/08,Kings XI Punjab,6,76,6,7,4,78,97.44,12.67
A Nehra,2007/08,Mumbai Indians,3,2,1,0,0,12,16.67,0.67
Shoaib Malik,2007/08,Delhi Daredevils,5,51,4,5,0,46,110.87,10.2
R Bhatia,2007/08,Delhi Daredevils,3,34,6,2,2,28,121.43,11.33
DNT Zoysa,2007/08,Deccan Chargers,2,11,4,1,0,9,122.22,5.5
AB Dinda,2007/08,Kolkata Knight Riders,2,2,1,0,0,4,50.0,1.0
T Taibu,2007/08,Kolkata Knight Riders,3,31,4,3,0,26,119.23,10.33
AD Mascarenhas,2007/08,Rajasthan Royals,1,9,6,0,1,8,112.5,9.0
DR Smith,2007/08,Mumbai Indians,3,45,6,5,1,40,112.5,15.0
CRD Fernando,2007/08,Mumbai Indians,1,2,2,0,0,1,200.0,2.0
AM Nayar,2009,Mumbai Indians,11,191,6,14,7,151,126.49,17.36
PA Patel,2009,Chennai Super Kings,9,142,6,19,2,126,112.7,15.78
R Vinay Kumar,2009,Royal Challengers Bangalore,7,47,6,4,1,44,106.82,6.71
Yuvraj Singh,2009,Kings XI Punjab,14,340,6,25,16,294,115.65,24.29
I Sharma,2009,Kolkata Knight Riders,3,16,6,1,1,13,123.08,5.33
VVS Laxman,2009,Deccan Chargers,5,19,6,1,1,33,57.58,3.8
SP Goswami,2009,Royal Challengers Bangalore,2,53,4,6,0,60,88.33,26.5
WPUJC Vaas,2009,Deccan Chargers,2,30,6,1,1,21,142.86,15.0
MF Maharoof,2009,Delhi Daredevils,2,21,2,0,0,21,100.0,10.5
ST Jayasuriya,2009/10,Mumbai Indians,4,33,6,4,1,31,106.45,8.25
IK Pathan,2009/10,Kings XI Punjab,13,276,6,21,10,186,148.39,21.23
G Gambhir,2009/10,Delhi Daredevils,10,277,6,32,2,217,127.65,27.7
ML Hayden,2009/10,Chennai Super Kings,16,346,6,37,16,279,124.01,21.63
MS Dhoni,2009/10,Chennai Super Kings,11,287,6,26,8,210,136.67,26.09
RS Gavaskar,2009/10,Kolkata Knight Riders,1,2,1,0,0,8,25.0,2.0
MJ Lumb,2009/10,Rajasthan Royals,11,278,6,45,6,189,147.09,25.27
DA Warner,2009/10,Delhi Daredevils,11,276,6,27,13,189,146.03,25.09
A Kumble,2009/10,Royal Challengers Bangalore,5,6,1,0,0,11,54.55,1.2
BB McCullum,2009/10,Kolkata Knight Riders,5,114,6,14,2,109,104.59,22.8
JP Duminy,2009/10,Mumbai Indians,7,157,6,13,5,131,119.85,22.43
G Gambhir,2011,Kolkata Knight Riders,15,373,6,43,3,314,118.79,24.87
LR Shukla,2011,Kolkata Knight Riders,1,14,4,2,0,10,140.0,14.0
SK Trivedi,2011,Rajasthan Royals,1,0,0,0,0,2,0.0,0.0
AC Thomas,2011,Pune Warriors,2,1,1,0,0,4,25.0,0.5
DS Kulkarni,2011,Mumbai Indians,1,2,1,0,0,4,50.0,2.0
VR Aaron,2011,Delhi Daredevils,1,0,0,0,0,5,0.0,0.0
JA Morkel,2012,Chennai Super Kings,12,107,6,5,6,68,157.35,8.92
MK Tiwary,2012,Kolkata Knight Riders,15,260,6,21,3,246,105.69,17.33
KA Pollard,2012,Mumbai Indians,11,220,6,15,14,158,139.24,20.0
AB McDonald,2012,Royal Challengers Bangalore,3,47,6,6,2,35,134.29,15.67
AD Mascarenhas,2012,Kings XI Punjab,3,14,4,1,0,16,87.5,4.67
A Nehra,2012,Pune Warriors,2,11,4,1,0,12,91.67,5.5
M Muralitharan,2012,Royal Challengers Bangalore,2,6,3,0,0,9,66.67,3.0
DA Miller,2012,Kings XI Punjab,6,98,6,6,4,75,130.67,16.33
AUK Pathan,2012,Royal Challengers Bangalore,2,6,2,0,0,7,85.71,3.0
AD Russell,2012,Delhi Daredevils,2,47,6,3,3,26,180.77,23.5
AG Murtaza,2012,Pune Warriors,1,3,1,0,0,5,60.0,3.0
DA Warner,2013,Delhi Daredevils,16,410,6,41,14,324,126.54,25.63
MA Agarwal,2013,Royal Challengers Bangalore,5,67,6,6,3,62,108.06,13.4
Harbhajan Singh,2013,Mumbai Indians,13,116,6,12,5,79,146.84,8.92
PA Reddy,2013,Sunrisers Hyderabad,7,91,4,9,0,101,90.1,13.0
GH Vihari,2013,Sunrisers Hyderabad,17,239,6,17,1,277,86.28,14.06
DB Ravi Teja,2013,Sunrisers Hyderabad,2,14,2,0,0,17,82.35,7.0
RV Uthappa,2013,Pune Warriors,16,430,6,41,12,368,116.85,26.88
R Bhatia,2013,Kolkata Knight Riders,10,99,6,8,3,80,123.75,9.9
Azhar Mahmood,2013,Kings XI Punjab,10,196,6,22,5,154,127.27,19.6
WP Saha,2014,Kings XI Punjab,13,362,6,33,18,249,145.38,27.85
KK Nair,2014,Rajasthan Royals,11,330,6,38,9,232,142.24,30.0
VR Aaron,2014,Royal Challengers Bangalore,3,34,6,2,1,33,103.03,11.33
S Kaul,2014,Delhi Daredevils,1,2,1,0,0,2,100.0,2.0
RV Uthappa,2015,Kolkata Knight Riders,13,364,6,42,7,277,131.41,28.0
MS Dhoni,2015,Chennai Super Kings,17,372,6,27,17,305,121.97,21.88
JP Duminy,2015,Delhi Daredevils,13,414,6,27,20,315,131.43,31.85
MJ McClenaghan,2015,Mumbai Indians,3,13,6,0,2,6,216.67,4.33
F du Plessis,2016,Rising Pune Supergiants,6,206,6,17,9,162,127.16,34.33
KD Karthik,2023,Royal Challengers Bangalore,13,140,6,13,5,104,134.62,10.77
MP Stoinis,2016,Kings XI Punjab,5,146,6,13,4,108,135.19,29.2
NV Ojha,2016,Sunrisers Hyderabad,13,136,6,7,5,138,98.55,10.46
JP Duminy,2016,Delhi Daredevils,8,191,6,13,3,155,123.23,23.88
M Ashwin,2016,Rising Pune Supergiants,1,0,0,0,0,1,0.0,0.0
Yuvraj Singh,2017,Sunrisers Hyderabad,11,248,6,29,8,176,140.91,22.55
KM Jadhav,2017,Royal Challengers Bangalore,13,265,6,25,10,183,144.81,20.38
KA Pollard,2017,Mumbai Indians,16,395,6,27,23,279,141.58,24.69
BB McCullum,2017,Gujarat Lions,11,320,6,29,18,220,145.45,29.09
G Gambhir,2017,Kolkata Knight Riders,16,498,6,62,7,389,128.02,31.13
GJ Maxwell,2017,Kings XI Punjab,13,306,6,19,26,178,171.91,23.54
Iqbal Abdulla,2017,Royal Challengers Bangalore,1,5,2,0,0,7,71.43,5.0
C de Grandhomme,2017,Kolkata Knight Riders,9,126,6,10,6,92,136.96,14.0
Sandeep Sharma,2017,Kings XI Punjab,2,6,2,0,0,5,120.0,3.0
Kuldeep Yadav,2017,Kolkata Knight Riders,2,20,4,2,0,22,90.91,10.0
DM Bravo,2017,Kolkata Knight Riders,1,6,4,1,0,5,120.0,6.0
RA Jadeja,2018,Chennai Super Kings,8,89,6,3,4,74,120.27,11.13
RR Pant,2018,Delhi Daredevils,14,684,6,68,37,394,173.6,48.86
CR Woakes,2018,Royal Challengers Bangalore,4,17,6,1,1,19,89.47,4.25
KS Williamson,2018,Sunrisers Hyderabad,17,735,6,64,28,515,142.72,43.24
MK Pandey,2018,Sunrisers Hyderabad,13,284,6,22,5,246,115.45,21.85
JJ Roy,2018,Delhi Daredevils,5,120,6,9,7,94,127.66,24.0
S Dube,2019,Royal Challengers Bangalore,4,40,6,1,3,33,121.21,10.0
N Rana,2019,Kolkata Knight Riders,11,344,6,27,21,235,146.38,31.27
RV Uthappa,2019,Kolkata Knight Riders,11,284,6,28,10,247,114.98,25.82
SS Iyer,2019,Delhi Capitals,16,466,6,42,14,386,120.73,29.13
CH Gayle,2019,Kings XI Punjab,13,490,6,45,34,319,153.61,37.69
Mandeep Singh,2019,Kings XI Punjab,12,165,6,10,4,120,137.5,13.75
DA Miller,2019,Kings XI Punjab,10,213,6,19,7,163,130.67,21.3
KS Williamson,2019,Sunrisers Hyderabad,9,154,6,12,5,129,119.38,17.11
SD Lad,2019,Mumbai Indians,1,15,6,1,1,13,115.38,15.0
AJ Turner,2019,Rajasthan Royals,4,3,1,0,0,10,30.0,0.75
Y Prithvi Raj,2019,Kolkata Knight Riders,1,0,0,0,0,1,0.0,0.0
SA Yadav,2020/21,Mumbai Indians,15,480,6,61,11,330,145.45,32.0
JC Buttler,2020/21,Rajasthan Royals,12,328,6,27,16,227,144.49,27.33
Ravi Bishnoi,2020/21,Kings XI Punjab,2,7,4,1,0,12,58.33,3.5
Kartik Tyagi,2020/21,Rajasthan Royals,2,4,1,0,0,6,66.67,2.0
VR Aaron,2020/21,Rajasthan Royals,2,1,1,0,0,10,10.0,0.5
CH Gayle,2020/21,Kings XI Punjab,7,295,6,15,24,212,139.15,42.14
Ishan Kishan,2021,Mumbai Indians,10,238,6,21,10,177,134.46,23.8
F du Plessis,2021,Chennai Super Kings,16,632,6,61,23,456,138.6,39.5
MC Henriques,2021,Punjab Kings,4,31,6,0,1,32,96.88,7.75
Shivam Mavi,2021,Kolkata Knight Riders,2,25,6,2,2,20,125.0,12.5
KM Jadhav,2021,Sunrisers Hyderabad,5,55,6,2,2,52,105.77,11.0
Sachin Baby,2021,Royal Challengers Bangalore,1,6,1,0,0,16,37.5,6.0
VR Iyer,2021,Kolkata Knight Riders,10,370,6,37,14,288,128.47,37.0
TH David,2021,Royal Challengers Bangalore,1,1,1,0,0,3,33.33,1.0
RR Pant,2022,Delhi Capitals,13,338,6,35,16,222,152.25,26.0
SN Thakur,2022,Delhi Capitals,10,120,6,7,7,87,137.93,12.0
SV Samson,2022,Rajasthan Royals,17,458,6,43,26,311,147.27,26.94
Abhishek Sharma,2022,Sunrisers Hyderabad,14,425,6,47,13,319,133.23,30.36
SE Rutherford,2022,Royal Challengers Bangalore,2,33,6,1,1,50,66.0,16.5
DJ Bravo,2022,Chennai Super Kings,6,23,6,1,1,24,95.83,3.83
SS Prabhudessai,2022,Royal Challengers Bangalore,5,67,6,7,2,58,115.52,13.4
Shivam Mavi,2022,Kolkata Knight Riders,3,3,1,0,0,7,42.86,1.0
Yash Dayal,2022,Gujarat Titans,1,0,0,0,0,1,0.0,0.0
M Jansen,2022,Sunrisers Hyderabad,2,9,6,0,1,7,128.57,4.5
Mohsin Khan,2022,Lucknow Super Giants,3,23,6,2,1,16,143.75,7.67
Fazalhaq Farooqi,2022,Sunrisers Hyderabad,1,2,1,0,0,8,25.0,2.0
Abishek Porel,2023,Delhi Capitals,4,33,6,1,2,31,106.45,8.25
DJ Willey,2023,Royal Challengers Bangalore,3,35,4,4,0,32,109.38,11.67
Lalit Yadav,2023,Delhi Capitals,6,66,4,8,0,59,111.86,11.0
SS Prabhudessai,2023,Royal Challengers Bangalore,4,35,6,1,2,29,120.69,8.75
Naveen-ul-Haq,2023,Lucknow Super Giants,3,16,4,2,0,20,80.0,5.33
YBK Jaiswal,2024,Rajasthan Royals,15,434,6,54,16,278,156.12,28.93
RK Singh,2024,Kolkata Knight Riders,11,167,6,13,8,111,150.45,15.18
D Padikkal,2024,Lucknow Super Giants,7,37,4,3,0,52,71.15,5.29
TM Head,2024,Sunrisers Hyderabad,15,563,6,63,32,294,191.5,37.53
DJ Mitchell,2024,Chennai Super Kings,13,318,6,27,10,223,142.6,24.46
Nithish Kumar Reddy,2025,Sunrisers Hyderabad,11,181,6,16,4,152,119.08,16.45
PJ Cummins,2025,Sunrisers Hyderabad,9,97,6,6,7,58,167.24,10.78
DL Chahar,2025,Mumbai Indians,4,37,6,3,2,25,148.0,9.25
RD Gaikwad,2025,Chennai Super Kings,5,122,6,14,4,81,150.62,24.4
Saurav Chauhan,2024,Royal Challengers Bengaluru,3,18,6,1,1,15,120.0,6.0
Kumar Kushagra,2024,Delhi Capitals,3,3,2,0,0,7,42.86,1.0
