season,bowler,bowling_team,balls_bowled,runs_conceded,wickets,economy
2023,Washington Sundar,Sunrisers Hyderabad,106,146,3,8.26
2023,R Powell,Delhi Capitals,12,16,1,8.0
2023,Mohit Rathee,Punjab Kings,12,29,0,14.5
2023,KR Sen,Rajasthan Royals,18,23,0,7.67
2023,Mayank Dagar,Sunrisers Hyderabad,66,83,1,7.55
2023,K Yadav,Rajasthan Royals,42,68,2,9.71
2024,RD Chahar,Punjab Kings,186,272,10,8.77
2024,Rashid Khan,Gujarat Titans,262,367,10,8.4
2024,Sumit Kumar,Delhi Capitals,20,36,0,10.8
2024,T Natarajan,Sunrisers Hyderabad,308,441,19,8.59
2024,KA Maharaj,Rajasthan Royals,36,39,2,6.5
2024,S Dube,Chennai Super Kings,6,14,1,14.0
2024,NT Ellis,Punjab Kings,24,24,1,6.0
2025,Suyash Sharma,Royal Challengers Bengaluru,300,433,8,8.66
2025,CV Varun,Kolkata Knight Riders,300,375,17,7.5
2025,Abhishek Sharma,Sunrisers Hyderabad,66,111,0,10.09
2025,Noor Ahmad,Chennai Super Kings,300,384,24,7.68
2025,WG Jacks,Mumbai Indians,84,111,6,7.93
2025,MM Sharma,Delhi Capitals,150,239,2,9.56
2025,Avesh Khan,Lucknow Super Giants,284,477,13,10.08
2025,K Khejroliya,Gujarat Titans,18,28,1,9.33
2025,RJ Gleeson,Mumbai Indians,21,38,1,10.86
2007/08,CL White,Royal Challengers Bangalore,6,22,0,22.0
2007/08,I Sharma,Kolkata Knight Riders,253,300,7,7.11
2007/08,JR Hopes,Kings XI Punjab,168,273,7,9.75
2007/08,SK Trivedi,Rajasthan Royals,288,386,13,8.04
2007/08,B Akhil,Royal Challengers Bangalore,104,132,2,7.62
2007/08,SB Styris,Deccan Chargers,162,194,3,7.19
2007/08,VS Yeligati,Mumbai Indians,30,53,0,10.6
2007/08,DNT Zoysa,Deccan Chargers,66,93,2,8.45
2007/08,DW Steyn,Royal Challengers Bangalore,228,222,10,5.84
2009,MC Henriques,Kolkata Knight Riders,73,104,2,8.55
2009,AD Mathews,Kolkata Knight Riders,14,30,0,12.86
2009,AM Rahane,Mumbai Indians,6,5,1,5.0
2009/10,I Sharma,Kolkata Knight Riders,150,225,7,9.0
2009/10,JH Kallis,Royal Challengers Bangalore,342,464,13,8.14
2009/10,R Bhatia,Delhi Daredevils,96,130,3,8.13
2009/10,A Mithun,Royal Challengers Bangalore,18,37,1,12.33
2009/10,S Sriram,Royal Challengers Bangalore,12,24,0,12.0
2011,J Botha,Rajasthan Royals,216,236,7,6.56
2011,STR Binny,Rajasthan Royals,24,43,0,10.75
2011,Z Khan,Royal Challengers Bangalore,354,432,14,7.32
2011,UT Yadav,Delhi Daredevils,108,154,2,8.56
2011,AJ Finch,Delhi Daredevils,12,12,0,6.0
2011,PC Valthaty,Kings XI Punjab,145,183,7,7.57
2011,CH Gayle,Royal Challengers Bangalore,216,229,8,6.36
2011,DJ Hussey,Kings XI Punjab,18,38,1,12.67
2011,KMDN Kulasekara,Chennai Super Kings,18,25,1,8.33
2011,A Symonds,Mumbai Indians,24,41,1,10.25
2011,JP Faulkner,Pune Warriors,12,9,1,4.5
