bowler,season,bowling_team,matches,balls_bowled,runs_conceded,wickets,economy,bowling_avg,strike_rate
Mohammed Siraj,2023,Royal Challengers Bangalore,14,300,335,19,6.7,17.63,15.79
BA Stokes,2023,Chennai Super Kings,1,6,18,0,18.0,,
A Mishra,2023,Lucknow Super Giants,7,114,148,7,7.79,21.14,16.29
K Kartikeya,2023,Mumbai Indians,8,156,219,5,8.42,43.8,31.2
Tilak Varma,2023,Mumbai Indians,1,6,6,0,6.0,,
PWH de Silva,2023,Royal Challengers Bangalore,8,174,256,9,8.83,28.44,19.33
MP Stoinis,2023,Lucknow Super Giants,5,65,96,5,8.86,19.2,13.0
CJ Jordan,2023,Mumbai Indians,6,132,228,3,10.36,76.0,44.0
I Sharma,2007/08,Kolkata Knight Riders,13,253,300,7,7.11,42.86,36.14
JR Hopes,2007/08,Kings XI Punjab,11,168,273,7,9.75,39.0,24.0
DL Vettori,2007/08,Delhi Daredevils,2,48,54,2,6.75,27.0,24.0
SR Watson,2007/08,Rajasthan Royals,15,325,361,17,6.66,21.24,19.12
B Akhil,2007/08,Royal Challengers Bangalore,6,104,132,2,7.62,66.0,52.0
VY Mahesh,2007/08,Delhi Daredevils,11,253,341,16,8.09,21.31,15.81
MA Khote,2007/08,Mumbai Indians,2,30,51,2,10.2,25.5,15.0
Joginder Sharma,2009,Chennai Super Kings,4,42,56,2,8.0,28.0,21.0
ST Jayasuriya,2009,Mumbai Indians,9,114,154,7,8.11,22.0,16.29
M Kartik,2009,Kolkata Knight Riders,10,204,189,4,5.56,47.25,51.0
LR Shukla,2009,Kolkata Knight Riders,5,84,95,3,6.79,31.67,28.0
MK Tiwary,2009,Delhi Daredevils,1,6,11,0,11.0,,
S Tyagi,2009,Chennai Super Kings,8,114,131,5,6.89,26.2,22.8
SB Jakati,2009,Chennai Super Kings,8,174,216,13,7.45,16.62,13.38
B Lee,2009,Kings XI Punjab,5,120,93,5,4.65,18.6,24.0
WPUJC Vaas,2009/10,Deccan Chargers,6,132,138,9,6.27,15.33,14.67
Jaskaran Singh,2009/10,Deccan Chargers,6,84,125,6,8.93,20.83,14.0
SK Warne,2009/10,Rajasthan Royals,14,300,375,11,7.5,34.09,27.27
S Sreesanth,2009/10,Kings XI Punjab,6,114,171,3,9.0,57.0,38.0
S Ladda,2009/10,Delhi Daredevils,5,90,141,4,9.4,35.25,22.5
R Vinay Kumar,2009/10,Royal Challengers Bangalore,14,277,381,16,8.25,23.81,17.31
Harbhajan Singh,2009/10,Mumbai Indians,14,321,360,15,6.73,24.0,21.4
J Theron,2009/10,Kings XI Punjab,7,149,187,8,7.53,23.38,18.63
AJ Finch,2011,Delhi Daredevils,1,12,12,0,6.0,,
Y Venugopal Rao,2011,Delhi Daredevils,2,12,26,0,13.0,,
AS Raut,2011,Rajasthan Royals,1,6,8,0,8.0,,
CK Langeveldt,2011,Royal Challengers Bangalore,3,66,80,5,7.27,16.0,13.2
AN Ahmed,2012,Mumbai Indians,1,12,16,0,8.0,,
Iqbal Abdulla,2012,Kolkata Knight Riders,8,132,140,4,6.36,35.0,33.0
JH Kallis,2012,Kolkata Knight Riders,16,324,391,15,7.24,26.07,21.6
BJ Hodge,2012,Rajasthan Royals,2,12,21,1,10.5,21.0,12.0
Anand Rajan,2012,Deccan Chargers,4,71,104,3,8.79,34.67,23.67
P Awana,2012,Kings XI Punjab,12,282,358,17,7.62,21.06,16.59
